595,396
775,358
303,283
1043,172
600,140
426,208
354,418
953,84
163,352
141,196
270,190
907,251
1004,266
387,128
275,373
211,192
90,180
477,148
540,140
213,354
887,332
80,41
803,279
790,212
948,157
330,225
718,414
768,135
823,160
1123,329
657,445
325,331
515,426
190,84
91,282
1036,115
482,62
612,280
128,40
511,228
278,102
412,319
238,250
752,288
159,285
690,324
927,360
161,395
960,253
547,296
548,332
725,130
894,107
312,132
610,80
990,310
550,75
700,225
110,100
663,149
820,96
830,245
830,370
220,310
1080,253
580,230
380,96
500,325
870,145
450,421
494,206
960,342
1054,349
416,73
1004,90
1074,156
230,135
423,92
704,437
650,408
341,124
